

sn,compound,ra,rb,xa,xb,za,a,b,c,,,,,,,,,,,,,,,
1,BaCeO3,1.35,0.87,0.89,1.12,2,6.235,8.781,6.212,,,,,,,,,,,,,,,
2,BaPrO3,1.35,0.85,0.89,1.13,2,6.214,8.722,6.181,,,,,,,,,,,,,,,
3,BaPuO3,1.35,0.86,0.89,1.3,2,6.193,8.744,6.219,,,,,,,,,,,,,,,
4,CaCrO3,1,0.55,1,1.66,2,5.316,7.486,5.287,,,,,,,,,,,,,,,
5,CaGeO3,1,0.53,1,2.01,2,5.2688,7.4452,5.2607,,,,,,,,,,,,,,,
6,CaMnO3,1,0.53,1,1.55,2,5.2819,7.4547,5.2658,,,,,,,,,,,,,,,
7,CaRuO3,1,0.62,1,2.2,2,5.519,7.665,5.364,,,,,,,,,,,,,,,
8,CaSnO3,1,0.69,1,1.96,2,5.681,7.906,5.532,,,,,,,,,,,,,,,
9,CaTiO3,1,0.61,1,1.54,2,5.4537,7.6551,5.3827,,,,,,,,,,,,,,,
10,CaVO3,1,0.58,1,1.63,2,5.352,7.547,5.326,,,,,,,,,,,,,,,
11,CaZrO3,1,0.72,1,1.33,2,5.7616,8.0171,5.5912,,,,,,,,,,,,,,,
12,CdTiO3,0.95,0.61,1.69,1.54,2,5.4215,7.6176,5.3053,,,,,,,,,,,,,,,
13,CeVO3,1.01,0.64,1.12,1.63,3,5.557,7.808,5.514,,,,,,,,,,,,,,,
14,CoSeO3,0.5,0.65,2.55,1.88,4,5.9297,7.5954,5.0293,,,,,,,,,,,,,,,
15,CoTeO3,0.97,0.65,2.1,1.88,4,6.0169,7.5147,5.3266,,,,,,,,,,,,,,,
16,DyFeO3,0.91,0.65,1.22,1.83,3,5.598,7.623,5.302,,,,,,,,,,,,,,,
17,DyMnO3,0.91,0.65,1.22,1.55,3,5.828,7.375,5.275,,,,,,,,,,,,,,,
18,DyNiO3,0.91,0.56,1.22,1.91,3,5.5056,7.4455,5.2063,,,,,,,,,,,,,,,
19,DyVO3,0.91,0.64,1.22,1.63,3,5.598,7.586,5.292,,,,,,,,,,,,,,,
20,ErFeO3,0.89,0.65,1.24,1.83,3,5.582,7.591,5.263,,,,,,,,,,,,,,,
